Vulnerability Name,Risk Severity,CVSS Score,Vulnerability CVE IDs,Distribution,OS State,Hardware Configuration,Vulnerability Scanner
Fedora: Security Advisory for selinux-policy (FEDORA-2024-334b3be641),Medium,5,,Fedora,freshly installed,Server,GVM
Fedora: Security Advisory for gstreamer1-plugins-ugly-free (FEDORA-2023-6a4aea6d13),Medium,5,"CVE-2023-44429, CVE-2023-44446",Fedora,freshly installed,Laptop,GVM
Fedora: Security Advisory for gstreamer1-plugins-base (FEDORA-2023-6a4aea6d13),Medium,5,"CVE-2023-44429, CVE-2023-44446",Fedora,freshly installed,Laptop,GVM
Fedora: Security Advisory for gstreamer1-plugins-bad-free (FEDORA-2023-6a4aea6d13),Medium,5,"CVE-2023-44429, CVE-2023-44446",Fedora,freshly installed,Laptop,GVM
Fedora: Security Advisory for podman (FEDORA-2023-00c78aad58),Medium,5,,Fedora,freshly installed,Laptop,GVM
Fedora: Security Advisory for gstreamer1-plugin-libav (FEDORA-2023-6a4aea6d13),Medium,5,"CVE-2023-44429, CVE-2023-44446",Fedora,freshly installed,Laptop,GVM
Fedora: Security Advisory for gstreamer1 (FEDORA-2023-1661e0af22),Medium,5,CVE-2023-44429,Fedora,freshly installed,Laptop,GVM
Fedora: Security Advisory for gstreamer1-plugins-ugly-free (FEDORA-2023-6a4aea6d13),Medium,5,"CVE-2023-44429, CVE-2023-44446",Fedora,freshly installed,Server,GVM
Fedora: Security Advisory for gstreamer1-plugins-good (FEDORA-2023-6a4aea6d13),Medium,5,"CVE-2023-44429, CVE-2023-44446",Fedora,freshly installed,Server,GVM
Fedora: Security Advisory for gstreamer1-plugins-base (FEDORA-2023-6a4aea6d13),Medium,5,"CVE-2023-44429, CVE-2023-44446",Fedora,freshly installed,Server,GVM
Fedora: Security Advisory for gstreamer1-plugins-bad-free (FEDORA-2023-6a4aea6d13),Medium,5,"CVE-2023-44429, CVE-2023-44446",Fedora,freshly installed,Server,GVM
Fedora: Security Advisory for gstreamer1-plugin-libav (FEDORA-2023-6a4aea6d13),Medium,5,"CVE-2023-44429, CVE-2023-44446",Fedora,freshly installed,Server,GVM
Fedora: Security Advisory for gstreamer1 (FEDORA-2023-1661e0af22),Medium,5,CVE-2023-44429,Fedora,freshly installed,Server,GVM
Fedora: Security Advisory for firefox (FEDORA-2023-9de52d46bd),Medium,5,,Fedora,freshly installed,Server,GVM
Fedora: Security Advisory for firefox (FEDORA-2023-2bd5892754),Medium,5,,Fedora,freshly installed,Server,GVM
Fedora: Security Advisory for nss (FEDORA-2023-9de52d46bd),Medium,5,,Fedora,freshly installed,Desktop,GVM
Fedora: Security Advisory for expat (FEDORA-2024-269826c2b3),Medium,5,,Fedora,freshly installed,Server,GVM
Fedora: Security Advisory for dnsmasq (FEDORA-2024-b359bbdf87),Medium,5,,Fedora,freshly installed,Server,GVM
Fedora: Security Advisory for gnutls (FEDORA-2023-e075ac32be),Medium,5,,Fedora,freshly installed,Laptop,GVM
Fedora: Security Advisory for firefox (FEDORA-2024-bc8ea2c2cb),Medium,5,,Fedora,freshly installed,Laptop,GVM
Fedora: Security Advisory for podman (FEDORA-2023-00c78aad58),Medium,5,,Fedora,freshly installed,Desktop,GVM
Fedora: Security Advisory for firefox (FEDORA-2024-14dea9640b),Medium,5,,Fedora,freshly installed,Laptop,GVM
Fedora: Security Advisory for qt5-qtbase (FEDORA-2024-d9be3edddb),Medium,5,CVE-2024-25580,Fedora,freshly installed,Desktop,GVM
Fedora: Security Advisory for selinux-policy (FEDORA-2024-334b3be641),Medium,5,,Fedora,freshly installed,Desktop,GVM
Fedora: Security Advisory for sos (FEDORA-2024-a2129a4eb5),Medium,5,,Fedora,freshly installed,Desktop,GVM
Fedora: Security Advisory for firefox (FEDORA-2023-9de52d46bd),Medium,5,,Fedora,freshly installed,Laptop,GVM
Fedora: Security Advisory for firefox (FEDORA-2023-2bd5892754),Medium,5,,Fedora,freshly installed,Laptop,GVM
Fedora: Security Advisory for expat (FEDORA-2024-269826c2b3),Medium,5,,Fedora,freshly installed,Laptop,GVM
Fedora: Security Advisory for nss (FEDORA-2023-9de52d46bd),Medium,5,,Fedora,freshly installed,Laptop,GVM
Fedora: Security Advisory for qt5-qtbase (FEDORA-2024-d9be3edddb),Medium,5,CVE-2024-25580,Fedora,freshly installed,Laptop,GVM
Fedora: Security Advisory for selinux-policy (FEDORA-2024-334b3be641),Medium,5,,Fedora,freshly installed,Laptop,GVM
Fedora: Security Advisory for sos (FEDORA-2024-a2129a4eb5),Medium,5,,Fedora,freshly installed,Laptop,GVM
Fedora: Security Advisory for dnsmasq (FEDORA-2024-b359bbdf87),Medium,5,,Fedora,freshly installed,Laptop,GVM
Fedora: Security Advisory for gnutls (FEDORA-2023-e075ac32be),Medium,5,,Fedora,freshly installed,Desktop,GVM
Fedora: Security Advisory for qt5-qtbase (FEDORA-2024-d9be3edddb),Medium,5,CVE-2024-25580,Fedora,freshly installed,Server,GVM
Fedora: Security Advisory for gstreamer1 (FEDORA-2023-1661e0af22),Medium,5,CVE-2023-44429,Fedora,freshly installed,Desktop,GVM
TCP Timestamps Information Disclosure,Low,2.6,,Fedora,freshly installed,Laptop,GVM
TCP Timestamps Information Disclosure,Low,2.6,,Fedora,freshly installed,Server,GVM
TCP Timestamps Information Disclosure,Low,2.6,,Fedora,freshly installed,Desktop,GVM
ICMP Timestamp Reply Information Disclosure,Low,2.1,CVE-1999-0524,Fedora,freshly installed,Desktop,GVM
ICMP Timestamp Reply Information Disclosure,Low,2.1,CVE-1999-0524,Fedora,freshly installed,Server,GVM
ICMP Timestamp Reply Information Disclosure,Low,2.1,CVE-1999-0524,Fedora,freshly installed,Laptop,GVM
Missing Linux Kernel mitigations for L1TF - L1 Terminal Fault hardware vulnerabilities,Medium,6.4,"CVE-2018-3615, CVE-2018-3620, CVE-2018-3646",Kali Linux,fully updated,Server,GVM
Missing Linux Kernel mitigations for MDS - Microarchitectural Data Sampling hardware vulnerabilities,Medium,5.6,"CVE-2018-12126, CVE-2018-12130, CVE-2018-12127, CVE-2019-11091",Kali Linux,fully updated,Server,GVM
Missing Linux Kernel mitigations for Processor MMIO Stale Data hardware vulnerabilities,Medium,5.5,"CVE-2022-21123, CVE-2022-21125, CVE-2022-21166",Kali Linux,fully updated,Server,GVM
TCP Timestamps Information Disclosure,Low,2.6,,Kali Linux,fully updated,Server,GVM
TCP Timestamps Information Disclosure,Low,2.6,,Kali Linux,fully updated,Desktop,GVM
TCP Timestamps Information Disclosure,Low,2.6,,Kali Linux,fully updated,Laptop,GVM
Weak MAC Algorithm(s) Supported (SSH),Low,2.6,,Kali Linux,fully updated,Server,GVM
Weak MAC Algorithm(s) Supported (SSH),Low,2.6,,Kali Linux,fully updated,Desktop,GVM
Weak MAC Algorithm(s) Supported (SSH),Low,2.6,,Kali Linux,fully updated,Laptop,GVM
ICMP Timestamp Reply Information Disclosure,Low,2.1,CVE-1999-0524,Kali Linux,fully updated,Laptop,GVM
ICMP Timestamp Reply Information Disclosure,Low,2.1,CVE-1999-0524,Kali Linux,fully updated,Desktop,GVM
ICMP Timestamp Reply Information Disclosure,Low,2.1,CVE-1999-0524,Kali Linux,fully updated,Server,GVM
Missing Linux Kernel mitigations for L1TF - L1 Terminal Fault hardware vulnerabilities,Medium,6.4,"CVE-2018-3615, CVE-2018-3620, CVE-2018-3646",Kali Linux,freshly installed,Server,GVM
Missing Linux Kernel mitigations for MDS - Microarchitectural Data Sampling hardware vulnerabilities,Medium,5.6,"CVE-2018-12126, CVE-2018-12130, CVE-2018-12127, CVE-2019-11091",Kali Linux,freshly installed,Server,GVM
Missing Linux Kernel mitigations for Processor MMIO Stale Data hardware vulnerabilities,Medium,5.5,"CVE-2022-21123, CVE-2022-21125, CVE-2022-21166",Kali Linux,freshly installed,Server,GVM
Weak MAC Algorithm(s) Supported (SSH),Low,2.6,,Kali Linux,freshly installed,Laptop,GVM
Weak MAC Algorithm(s) Supported (SSH),Low,2.6,,Kali Linux,freshly installed,Desktop,GVM
TCP Timestamps Information Disclosure,Low,2.6,,Kali Linux,freshly installed,Laptop,GVM
TCP Timestamps Information Disclosure,Low,2.6,,Kali Linux,freshly installed,Desktop,GVM
Weak MAC Algorithm(s) Supported (SSH),Low,2.6,,Kali Linux,freshly installed,Server,GVM
ICMP Timestamp Reply Information Disclosure,Low,2.1,CVE-1999-0524,Kali Linux,freshly installed,Laptop,GVM
ICMP Timestamp Reply Information Disclosure,Low,2.1,CVE-1999-0524,Kali Linux,freshly installed,Desktop,GVM
ICMP Timestamp Reply Information Disclosure,Low,2.1,CVE-1999-0524,Kali Linux,freshly installed,Server,GVM
Missing Linux Kernel mitigations for L1TF - L1 Terminal Fault hardware vulnerabilities,Medium,6.4,"CVE-2018-3615, CVE-2018-3620, CVE-2018-3646",Manjaro,fully updated,Server,GVM
Missing Linux Kernel mitigations for MDS - Microarchitectural Data Sampling hardware vulnerabilities,Medium,5.6,"CVE-2018-12126, CVE-2018-12130, CVE-2018-12127, CVE-2019-11091",Manjaro,fully updated,Server,GVM
Missing Linux Kernel mitigations for Processor MMIO Stale Data hardware vulnerabilities,Medium,5.5,"CVE-2022-21123, CVE-2022-21125, CVE-2022-21166",Manjaro,fully updated,Server,GVM
Weak MAC Algorithm(s) Supported (SSH),Low,2.6,,Manjaro,fully updated,Laptop,GVM
Weak MAC Algorithm(s) Supported (SSH),Low,2.6,,Manjaro,fully updated,Server,GVM
Weak MAC Algorithm(s) Supported (SSH),Low,2.6,,Manjaro,fully updated,Desktop,GVM
TCP Timestamps Information Disclosure,Low,2.6,,Manjaro,fully updated,Laptop,GVM
TCP Timestamps Information Disclosure,Low,2.6,,Manjaro,fully updated,Server,GVM
TCP Timestamps Information Disclosure,Low,2.6,,Manjaro,fully updated,Desktop,GVM
ICMP Timestamp Reply Information Disclosure,Low,2.1,CVE-1999-0524,Manjaro,fully updated,Desktop,GVM
ICMP Timestamp Reply Information Disclosure,Low,2.1,CVE-1999-0524,Manjaro,fully updated,Laptop,GVM
ICMP Timestamp Reply Information Disclosure,Low,2.1,CVE-1999-0524,Manjaro,fully updated,Server,GVM
Missing Linux Kernel mitigations for L1TF - L1 Terminal Fault hardware vulnerabilities,Medium,6.4,"CVE-2018-3615, CVE-2018-3620, CVE-2018-3646",Manjaro,freshly installed,Server,GVM
Missing Linux Kernel mitigations for MDS - Microarchitectural Data Sampling hardware vulnerabilities,Medium,5.6,"CVE-2018-12126, CVE-2018-12130, CVE-2018-12127, CVE-2019-11091",Manjaro,freshly installed,Server,GVM
Missing Linux Kernel mitigations for Processor MMIO Stale Data hardware vulnerabilities,Medium,5.5,"CVE-2022-21123, CVE-2022-21125, CVE-2022-21166",Manjaro,freshly installed,Server,GVM
Weak MAC Algorithm(s) Supported (SSH),Low,2.6,,Manjaro,freshly installed,Laptop,GVM
Weak MAC Algorithm(s) Supported (SSH),Low,2.6,,Manjaro,freshly installed,Server,GVM
TCP Timestamps Information Disclosure,Low,2.6,,Manjaro,freshly installed,Laptop,GVM
TCP Timestamps Information Disclosure,Low,2.6,,Manjaro,freshly installed,Server,GVM
TCP Timestamps Information Disclosure,Low,2.6,,Manjaro,freshly installed,Desktop,GVM
Weak MAC Algorithm(s) Supported (SSH),Low,2.6,,Manjaro,freshly installed,Desktop,GVM
ICMP Timestamp Reply Information Disclosure,Low,2.1,CVE-1999-0524,Manjaro,freshly installed,Server,GVM
ICMP Timestamp Reply Information Disclosure,Low,2.1,CVE-1999-0524,Manjaro,freshly installed,Desktop,GVM
ICMP Timestamp Reply Information Disclosure,Low,2.1,CVE-1999-0524,Manjaro,freshly installed,Laptop,GVM
Missing Linux Kernel mitigations for L1TF - L1 Terminal Fault hardware vulnerabilities,Medium,6.4,"CVE-2018-3615, CVE-2018-3620, CVE-2018-3646",OpenSUSE,fully updated,Server,GVM
jQuery < 1.9.0 XSS Vulnerability,Medium,6.1,CVE-2012-6708,OpenSUSE,fully updated,Server,GVM
jQuery < 1.9.0 XSS Vulnerability,Medium,6.1,CVE-2012-6708,OpenSUSE,fully updated,Laptop,GVM
jQuery < 1.9.0 XSS Vulnerability,Medium,6.1,CVE-2012-6708,OpenSUSE,fully updated,Desktop,GVM
Missing Linux Kernel mitigations for MDS - Microarchitectural Data Sampling hardware vulnerabilities,Medium,5.6,"CVE-2018-12126, CVE-2018-12130, CVE-2018-12127, CVE-2019-11091",OpenSUSE,fully updated,Server,GVM
Missing Linux Kernel mitigations for MDS - Microarchitectural Data Sampling hardware vulnerabilities,Medium,5.6,"CVE-2018-12126, CVE-2018-12130, CVE-2018-12127, CVE-2019-11091",OpenSUSE,fully updated,Laptop,GVM
Missing Linux Kernel mitigations for Processor MMIO Stale Data hardware vulnerabilities,Medium,5.5,"CVE-2022-21123, CVE-2022-21125, CVE-2022-21166",OpenSUSE,fully updated,Server,GVM
TCP Timestamps Information Disclosure,Low,2.6,,OpenSUSE,fully updated,Laptop,GVM
TCP Timestamps Information Disclosure,Low,2.6,,OpenSUSE,fully updated,Desktop,GVM
TCP Timestamps Information Disclosure,Low,2.6,,OpenSUSE,fully updated,Server,GVM
ICMP Timestamp Reply Information Disclosure,Low,2.1,CVE-1999-0524,OpenSUSE,fully updated,Server,GVM
ICMP Timestamp Reply Information Disclosure,Low,2.1,CVE-1999-0524,OpenSUSE,fully updated,Laptop,GVM
ICMP Timestamp Reply Information Disclosure,Low,2.1,CVE-1999-0524,OpenSUSE,fully updated,Desktop,GVM
Missing Linux Kernel mitigations for L1TF - L1 Terminal Fault hardware vulnerabilities,Medium,6.4,"CVE-2018-3615, CVE-2018-3620, CVE-2018-3646",OpenSUSE,freshly installed,Server,GVM
jQuery < 1.9.0 XSS Vulnerability,Medium,6.1,CVE-2012-6708,OpenSUSE,freshly installed,Server,GVM
jQuery < 1.9.0 XSS Vulnerability,Medium,6.1,CVE-2012-6708,OpenSUSE,freshly installed,Desktop,GVM
jQuery < 1.9.0 XSS Vulnerability,Medium,6.1,CVE-2012-6708,OpenSUSE,freshly installed,Laptop,GVM
Missing Linux Kernel mitigations for MDS - Microarchitectural Data Sampling hardware vulnerabilities,Medium,5.6,"CVE-2018-12126, CVE-2018-12130, CVE-2018-12127, CVE-2019-11091",OpenSUSE,freshly installed,Laptop,GVM
Missing Linux Kernel mitigations for MDS - Microarchitectural Data Sampling hardware vulnerabilities,Medium,5.6,"CVE-2018-12126, CVE-2018-12130, CVE-2018-12127, CVE-2019-11091",OpenSUSE,freshly installed,Server,GVM
Missing Linux Kernel mitigations for Processor MMIO Stale Data hardware vulnerabilities,Medium,5.5,"CVE-2022-21123, CVE-2022-21125, CVE-2022-21166",OpenSUSE,freshly installed,Server,GVM
TCP Timestamps Information Disclosure,Low,2.6,,OpenSUSE,freshly installed,Desktop,GVM
TCP Timestamps Information Disclosure,Low,2.6,,OpenSUSE,freshly installed,Laptop,GVM
Weak MAC Algorithm(s) Supported (SSH),Low,2.6,,OpenSUSE,freshly installed,Laptop,GVM
TCP Timestamps Information Disclosure,Low,2.6,,OpenSUSE,freshly installed,Server,GVM
Weak MAC Algorithm(s) Supported (SSH),Low,2.6,,OpenSUSE,freshly installed,Desktop,GVM
Weak MAC Algorithm(s) Supported (SSH),Low,2.6,,OpenSUSE,freshly installed,Server,GVM
ICMP Timestamp Reply Information Disclosure,Low,2.1,CVE-1999-0524,OpenSUSE,freshly installed,Server,GVM
ICMP Timestamp Reply Information Disclosure,Low,2.1,CVE-1999-0524,OpenSUSE,freshly installed,Laptop,GVM
ICMP Timestamp Reply Information Disclosure,Low,2.1,CVE-1999-0524,OpenSUSE,freshly installed,Desktop,GVM
Missing Linux Kernel mitigations for L1TF - L1 Terminal Fault hardware vulnerabilities,Medium,6.4,"CVE-2018-3615, CVE-2018-3620, CVE-2018-3646",Red Hat Enterprise Linux,fully updated,Desktop,GVM
Missing Linux Kernel mitigations for L1TF - L1 Terminal Fault hardware vulnerabilities,Medium,6.4,"CVE-2018-3615, CVE-2018-3620, CVE-2018-3646",Red Hat Enterprise Linux,fully updated,Server,GVM
Missing Linux Kernel mitigations for MDS - Microarchitectural Data Sampling hardware vulnerabilities,Medium,5.6,"CVE-2018-12126, CVE-2018-12130, CVE-2018-12127, CVE-2019-11091",Red Hat Enterprise Linux,fully updated,Desktop,GVM
Missing Linux Kernel mitigations for MDS - Microarchitectural Data Sampling hardware vulnerabilities,Medium,5.6,"CVE-2018-12126, CVE-2018-12130, CVE-2018-12127, CVE-2019-11091",Red Hat Enterprise Linux,fully updated,Server,GVM
Missing Linux Kernel mitigations for Processor MMIO Stale Data hardware vulnerabilities,Medium,5.5,"CVE-2022-21123, CVE-2022-21125, CVE-2022-21166",Red Hat Enterprise Linux,fully updated,Server,GVM
TCP Timestamps Information Disclosure,Low,2.6,,Red Hat Enterprise Linux,fully updated,Laptop,GVM
TCP Timestamps Information Disclosure,Low,2.6,,Red Hat Enterprise Linux,fully updated,Server,GVM
TCP Timestamps Information Disclosure,Low,2.6,,Red Hat Enterprise Linux,fully updated,Desktop,GVM
ICMP Timestamp Reply Information Disclosure,Low,2.1,CVE-1999-0524,Red Hat Enterprise Linux,fully updated,Laptop,GVM
ICMP Timestamp Reply Information Disclosure,Low,2.1,CVE-1999-0524,Red Hat Enterprise Linux,fully updated,Desktop,GVM
ICMP Timestamp Reply Information Disclosure,Low,2.1,CVE-1999-0524,Red Hat Enterprise Linux,fully updated,Server,GVM
Missing Linux Kernel mitigations for L1TF - L1 Terminal Fault hardware vulnerabilities,Medium,6.4,"CVE-2018-3615, CVE-2018-3620, CVE-2018-3646",Red Hat Enterprise Linux,freshly installed,Desktop,GVM
Missing Linux Kernel mitigations for L1TF - L1 Terminal Fault hardware vulnerabilities,Medium,6.4,"CVE-2018-3615, CVE-2018-3620, CVE-2018-3646",Red Hat Enterprise Linux,freshly installed,Server,GVM
Missing Linux Kernel mitigations for MDS - Microarchitectural Data Sampling hardware vulnerabilities,Medium,5.6,"CVE-2018-12126, CVE-2018-12130, CVE-2018-12127, CVE-2019-11091",Red Hat Enterprise Linux,freshly installed,Server,GVM
Missing Linux Kernel mitigations for MDS - Microarchitectural Data Sampling hardware vulnerabilities,Medium,5.6,"CVE-2018-12126, CVE-2018-12130, CVE-2018-12127, CVE-2019-11091",Red Hat Enterprise Linux,freshly installed,Desktop,GVM
Missing Linux Kernel mitigations for Processor MMIO Stale Data hardware vulnerabilities,Medium,5.5,"CVE-2022-21123, CVE-2022-21125, CVE-2022-21166",Red Hat Enterprise Linux,freshly installed,Server,GVM
TCP Timestamps Information Disclosure,Low,2.6,,Red Hat Enterprise Linux,freshly installed,Desktop,GVM
TCP Timestamps Information Disclosure,Low,2.6,,Red Hat Enterprise Linux,freshly installed,Server,GVM
TCP Timestamps Information Disclosure,Low,2.6,,Red Hat Enterprise Linux,freshly installed,Laptop,GVM
ICMP Timestamp Reply Information Disclosure,Low,2.1,CVE-1999-0524,Red Hat Enterprise Linux,freshly installed,Desktop,GVM
ICMP Timestamp Reply Information Disclosure,Low,2.1,CVE-1999-0524,Red Hat Enterprise Linux,freshly installed,Server,GVM
ICMP Timestamp Reply Information Disclosure,Low,2.1,CVE-1999-0524,Red Hat Enterprise Linux,freshly installed,Laptop,GVM
Missing Linux Kernel mitigations for L1TF - L1 Terminal Fault hardware vulnerabilities,Medium,6.4,"CVE-2018-3615, CVE-2018-3620, CVE-2018-3646",Ubuntu,fully updated,Server,GVM
Missing Linux Kernel mitigations for MDS - Microarchitectural Data Sampling hardware vulnerabilities,Medium,5.6,"CVE-2018-12126, CVE-2018-12130, CVE-2018-12127, CVE-2019-11091",Ubuntu,fully updated,Server,GVM
Missing Linux Kernel mitigations for Processor MMIO Stale Data hardware vulnerabilities,Medium,5.5,"CVE-2022-21123, CVE-2022-21125, CVE-2022-21166",Ubuntu,fully updated,Server,GVM
TCP Timestamps Information Disclosure,Low,2.6,,Ubuntu,fully updated,Laptop,GVM
TCP Timestamps Information Disclosure,Low,2.6,,Ubuntu,fully updated,Desktop,GVM
TCP Timestamps Information Disclosure,Low,2.6,,Ubuntu,fully updated,Server,GVM
ICMP Timestamp Reply Information Disclosure,Low,2.1,CVE-1999-0524,Ubuntu,fully updated,Server,GVM
ICMP Timestamp Reply Information Disclosure,Low,2.1,CVE-1999-0524,Ubuntu,fully updated,Laptop,GVM
ICMP Timestamp Reply Information Disclosure,Low,2.1,CVE-1999-0524,Ubuntu,fully updated,Desktop,GVM
Ubuntu: Security Advisory (USN-6517-1),Critical,9.8,"CVE-2022-48522, CVE-2023-47038",Ubuntu,freshly installed,Desktop,GVM
Ubuntu: Security Advisory (USN-6429-3),Critical,9.8,"CVE-2023-38545, CVE-2023-38546",Ubuntu,freshly installed,Laptop,GVM
Ubuntu: Security Advisory (USN-6522-1),Critical,9.8,"CVE-2022-41877, CVE-2023-39352, CVE-2023-39356",Ubuntu,freshly installed,Laptop,GVM
Ubuntu: Security Advisory (USN-6587-1),Critical,9.8,"CVE-2023-6816, CVE-2024-0229, CVE-2024-0408, CVE-2024-0409, CVE-2024-21885, CVE-2024-21886",Ubuntu,freshly installed,Laptop,GVM
Ubuntu: Security Advisory (USN-6587-3),Critical,9.8,"CVE-2023-6816, CVE-2024-0229, CVE-2024-0408, CVE-2024-0409, CVE-2024-21885, CVE-2024-21886",Ubuntu,freshly installed,Laptop,GVM
Ubuntu: Security Advisory (USN-6484-1),Critical,9.8,"CVE-2023-46849, CVE-2023-46850",Ubuntu,freshly installed,Laptop,GVM
Ubuntu: Security Advisory (USN-6517-1),Critical,9.8,"CVE-2022-48522, CVE-2023-47038",Ubuntu,freshly installed,Laptop,GVM
Ubuntu: Security Advisory (USN-6429-3),Critical,9.8,"CVE-2023-38545, CVE-2023-38546",Ubuntu,freshly installed,Server,GVM
Ubuntu: Security Advisory (USN-6522-1),Critical,9.8,"CVE-2022-41877, CVE-2023-39352, CVE-2023-39356",Ubuntu,freshly installed,Server,GVM
Ubuntu: Security Advisory (USN-6560-1),Critical,9.8,"CVE-2023-28531, CVE-2023-48795",Ubuntu,freshly installed,Server,GVM
Ubuntu: Security Advisory (USN-6484-1),Critical,9.8,"CVE-2023-46849, CVE-2023-46850",Ubuntu,freshly installed,Server,GVM
Ubuntu: Security Advisory (USN-6517-1),Critical,9.8,"CVE-2022-48522, CVE-2023-47038",Ubuntu,freshly installed,Server,GVM
Ubuntu: Security Advisory (USN-6587-1),Critical,9.8,"CVE-2023-6816, CVE-2024-0229, CVE-2024-0408, CVE-2024-0409, CVE-2024-21885, CVE-2024-21886",Ubuntu,freshly installed,Server,GVM
Ubuntu: Security Advisory (USN-6587-3),Critical,9.8,"CVE-2023-6816, CVE-2024-0229, CVE-2024-0408, CVE-2024-0409, CVE-2024-21885, CVE-2024-21886",Ubuntu,freshly installed,Server,GVM
Ubuntu: Security Advisory (USN-6429-3),Critical,9.8,"CVE-2023-38545, CVE-2023-38546",Ubuntu,freshly installed,Desktop,GVM
Ubuntu: Security Advisory (USN-6522-1),Critical,9.8,"CVE-2022-41877, CVE-2023-39352, CVE-2023-39356",Ubuntu,freshly installed,Desktop,GVM
Ubuntu: Security Advisory (USN-6560-1),Critical,9.8,"CVE-2023-28531, CVE-2023-48795",Ubuntu,freshly installed,Desktop,GVM
Ubuntu: Security Advisory (USN-6484-1),Critical,9.8,"CVE-2023-46849, CVE-2023-46850",Ubuntu,freshly installed,Desktop,GVM
Ubuntu: Security Advisory (USN-6587-1),Critical,9.8,"CVE-2023-6816, CVE-2024-0229, CVE-2024-0408, CVE-2024-0409, CVE-2024-21885, CVE-2024-21886",Ubuntu,freshly installed,Desktop,GVM
Ubuntu: Security Advisory (USN-6587-3),Critical,9.8,"CVE-2023-6816, CVE-2024-0229, CVE-2024-0408, CVE-2024-0409, CVE-2024-21885, CVE-2024-21886",Ubuntu,freshly installed,Desktop,GVM
Ubuntu: Security Advisory (USN-6560-1),Critical,9.8,"CVE-2023-28531, CVE-2023-48795",Ubuntu,freshly installed,Laptop,GVM
Ubuntu: Security Advisory (USN-6423-2),High,8.8,CVE-2023-43641,Ubuntu,freshly installed,Desktop,GVM
Ubuntu: Security Advisory (USN-6423-2),High,8.8,CVE-2023-43641,Ubuntu,freshly installed,Server,GVM
Ubuntu: Security Advisory (USN-6490-1),High,8.8,"CVE-2023-41983, CVE-2023-42852",Ubuntu,freshly installed,Server,GVM
Ubuntu: Security Advisory (USN-6433-1),High,8.8,CVE-2023-43115,Ubuntu,freshly installed,Desktop,GVM
Ubuntu: Security Advisory (USN-6545-1),High,8.8,"CVE-2023-42916, CVE-2023-42917",Ubuntu,freshly installed,Server,GVM
Ubuntu: Security Advisory (USN-6433-1),High,8.8,CVE-2023-43115,Ubuntu,freshly installed,Server,GVM
Ubuntu: Security Advisory (USN-6631-1),High,8.8,"CVE-2024-23206, CVE-2024-23213, CVE-2024-23222",Ubuntu,freshly installed,Desktop,GVM
Ubuntu: Security Advisory (USN-6631-1),High,8.8,"CVE-2024-23206, CVE-2024-23213, CVE-2024-23222",Ubuntu,freshly installed,Laptop,GVM
Ubuntu: Security Advisory (USN-6545-1),High,8.8,"CVE-2023-42916, CVE-2023-42917",Ubuntu,freshly installed,Desktop,GVM
Ubuntu: Security Advisory (USN-6490-1),High,8.8,"CVE-2023-41983, CVE-2023-42852",Ubuntu,freshly installed,Desktop,GVM
Ubuntu: Security Advisory (USN-6545-1),High,8.8,"CVE-2023-42916, CVE-2023-42917",Ubuntu,freshly installed,Laptop,GVM
Ubuntu: Security Advisory (USN-6423-2),High,8.8,CVE-2023-43641,Ubuntu,freshly installed,Laptop,GVM
Ubuntu: Security Advisory (USN-6631-1),High,8.8,"CVE-2024-23206, CVE-2024-23213, CVE-2024-23222",Ubuntu,freshly installed,Server,GVM
Ubuntu: Security Advisory (USN-6490-1),High,8.8,"CVE-2023-41983, CVE-2023-42852",Ubuntu,freshly installed,Laptop,GVM
Ubuntu: Security Advisory (USN-6433-1),High,8.8,CVE-2023-43115,Ubuntu,freshly installed,Laptop,GVM
Ubuntu: Security Advisory (USN-6473-1),High,8.1,"CVE-2018-25091, CVE-2023-43804, CVE-2023-45803",Ubuntu,freshly installed,Laptop,GVM
Ubuntu: Security Advisory (USN-6618-1),High,8.1,"CVE-2023-44271, CVE-2023-50447",Ubuntu,freshly installed,Server,GVM
Ubuntu: Security Advisory (USN-6473-1),High,8.1,"CVE-2018-25091, CVE-2023-43804, CVE-2023-45803",Ubuntu,freshly installed,Server,GVM
Ubuntu: Security Advisory (USN-6473-1),High,8.1,"CVE-2018-25091, CVE-2023-43804, CVE-2023-45803",Ubuntu,freshly installed,Desktop,GVM
Ubuntu: Security Advisory (USN-6618-1),High,8.1,"CVE-2023-44271, CVE-2023-50447",Ubuntu,freshly installed,Laptop,GVM
Ubuntu: Security Advisory (USN-6618-1),High,8.1,"CVE-2023-44271, CVE-2023-50447",Ubuntu,freshly installed,Desktop,GVM
Ubuntu: Security Advisory (USN-6485-1),High,7.8,CVE-2023-23583,Ubuntu,freshly installed,Server,GVM
Ubuntu: Security Advisory (USN-6620-1),High,7.8,"CVE-2023-6246, CVE-2023-6779, CVE-2023-6780",Ubuntu,freshly installed,Server,GVM
Ubuntu: Security Advisory (USN-6485-1),High,7.8,CVE-2023-23583,Ubuntu,freshly installed,Laptop,GVM
Ubuntu: Security Advisory (USN-6555-1),High,7.8,"CVE-2023-6377, CVE-2023-6478",Ubuntu,freshly installed,Laptop,GVM
Ubuntu: Security Advisory (USN-6453-1),High,7.8,"CVE-2023-5367, CVE-2023-5380",Ubuntu,freshly installed,Laptop,GVM
